------------------------------------------------------------------------------------
Date: 12/4/2023 -- 22:52:50 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 8716
decoder.bytes                                 | Total                     | 3838292
decoder.ipv4                                  | Total                     | 8715
decoder.ethernet                              | Total                     | 8716
decoder.arp                                   | Total                     | 1
decoder.tcp                                   | Total                     | 8648
tcp.syn                                       | Total                     | 4
tcp.synack                                    | Total                     | 4
decoder.udp                                   | Total                     | 67
decoder.avg_pkt_size                          | Total                     | 440
decoder.max_pkt_size                          | Total                     | 8754
flow.total                                    | Total                     | 38
flow.tcp                                      | Total                     | 8
flow.udp                                      | Total                     | 30
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted_needs_work             | Total                     | 1
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2
flow.wrk.flows_injected                       | Total                     | 1
tcp.sessions                                  | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 1
tcp.invalid_checksum                          | Total                     | 531
tcp.segment_from_pool                         | Total                     | 18
detect.alerts_suppressed                      | Total                     | 4
app_layer.flow.smb                            | Total                     | 1
app_layer.tx.smb                              | Total                     | 6
app_layer.flow.ntp                            | Total                     | 4
app_layer.tx.ntp                              | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 5
app_layer.tx.dns_udp                          | Total                     | 20
app_layer.flow.failed_udp                     | Total                     | 21
flow.end.state.new                            | Total                     | 27
flow.end.state.established                    | Total                     | 11
flow.end.tcp_state.established                | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 37
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 7154304
